Time,Source,Destination,source port,dest port,Seq,Time,SSRC
1695711129.323060,10.1.6.3,103.242.182.119,9848,17136,57103,2130753164,0x695F8610
1695711129.343500,10.1.6.3,103.242.182.119,9848,17136,57104,2130753324,0x695F8610
1695711129.362840,10.1.6.3,103.242.182.119,9848,17136,57105,2130753484,0x695F8610
1695711129.383300,10.1.6.3,103.242.182.119,9848,17136,57106,2130753644,0x695F8610
1695711129.403580,10.1.6.3,103.242.182.119,9848,17136,57107,2130753804,0x695F8610
1695711129.423010,10.1.6.3,103.242.182.119,9848,17136,57108,2130753964,0x695F8610
1695711129.443320,10.1.6.3,103.242.182.119,9848,17136,57109,2130754124,0x695F8610
1695711129.462700,10.1.6.3,103.242.182.119,9848,17136,57110,2130754284,0x695F8610
1695711129.483000,10.1.6.3,103.242.182.119,9848,17136,57111,2130754444,0x695F8610
1695711129.503420,10.1.6.3,103.242.182.119,9848,17136,57112,2130754604,0x695F8610
1695711129.522710,10.1.6.3,103.242.182.119,9848,17136,57113,2130754764,0x695F8610
1695711129.543040,10.1.6.3,103.242.182.119,9848,17136,57114,2130754924,0x695F8610
1695711129.563330,10.1.6.3,103.242.182.119,9848,17136,57115,2130755084,0x695F8610
1695711129.582770,10.1.6.3,103.242.182.119,9848,17136,57116,2130755244,0x695F8610
1695711129.603060,10.1.6.3,103.242.182.119,9848,17136,57117,2130755404,0x695F8610
1695711129.623490,10.1.6.3,103.242.182.119,9848,17136,57118,2130755564,0x695F8610
1695711129.642790,10.1.6.3,103.242.182.119,9848,17136,57119,2130755724,0x695F8610
1695711129.663130,10.1.6.3,103.242.182.119,9848,17136,57120,2130755884,0x695F8610
1695711129.683390,10.1.6.3,103.242.182.119,9848,17136,57121,2130756044,0x695F8610
1695711129.702730,10.1.6.3,103.242.182.119,9848,17136,57122,2130756204,0x695F8610
1695711129.723050,10.1.6.3,103.242.182.119,9848,17136,57123,2130756364,0x695F8610
1695711129.743460,10.1.6.3,103.242.182.119,9848,17136,57124,2130756524,0x695F8610
1695711129.762760,10.1.6.3,103.242.182.119,9848,17136,57125,2130756684,0x695F8610
1695711129.783220,10.1.6.3,103.242.182.119,9848,17136,57126,2130756844,0x695F8610
1695711129.803510,10.1.6.3,103.242.182.119,9848,17136,57127,2130757004,0x695F8610
1695711129.823290,10.1.6.3,103.242.182.119,9848,17136,57128,2130757164,0x695F8610
1695711129.843530,10.1.6.3,103.242.182.119,9848,17136,57129,2130757324,0x695F8610
1695711129.862870,10.1.6.3,103.242.182.119,9848,17136,57130,2130757484,0x695F8610
1695711129.883170,10.1.6.3,103.242.182.119,9848,17136,57131,2130757644,0x695F8610
1695711129.903440,10.1.6.3,103.242.182.119,9848,17136,57132,2130757804,0x695F8610
1695711129.922700,10.1.6.3,103.242.182.119,9848,17136,57133,2130757964,0x695F8610
1695711129.943120,10.1.6.3,103.242.182.119,9848,17136,57134,2130758124,0x695F8610
1695711129.963350,10.1.6.3,103.242.182.119,9848,17136,57135,2130758284,0x695F8610
1695711129.982810,10.1.6.3,103.242.182.119,9848,17136,57136,2130758444,0x695F8610
1695711130.003030,10.1.6.3,103.242.182.119,9848,17136,57137,2130758604,0x695F8610
1695711130.023330,10.1.6.3,103.242.182.119,9848,17136,57138,2130758764,0x695F8610
1695711130.042550,10.1.6.3,103.242.182.119,9848,17136,57139,2130758924,0x695F8610
1695711130.062950,10.1.6.3,103.242.182.119,9848,17136,57140,2130759084,0x695F8610
1695711130.083230,10.1.6.3,103.242.182.119,9848,17136,57141,2130759244,0x695F8610
1695711130.102590,10.1.6.3,103.242.182.119,9848,17136,57142,2130759404,0x695F8610
1695711130.122860,10.1.6.3,103.242.182.119,9848,17136,57143,2130759564,0x695F8610
1695711130.143260,10.1.6.3,103.242.182.119,9848,17136,57144,2130759724,0x695F8610
1695711130.163530,10.1.6.3,103.242.182.119,9848,17136,57145,2130759884,0x695F8610
1695711130.182840,10.1.6.3,103.242.182.119,9848,17136,57146,2130760044,0x695F8610
1695711130.203130,10.1.6.3,103.242.182.119,9848,17136,57147,2130760204,0x695F8610
1695711130.223520,10.1.6.3,103.242.182.119,9848,17136,57148,2130760364,0x695F8610
1695711130.242870,10.1.6.3,103.242.182.119,9848,17136,57149,2130760524,0x695F8610
1695711130.263300,10.1.6.3,103.242.182.119,9848,17136,57150,2130760684,0x695F8610
1695711130.283540,10.1.6.3,103.242.182.119,9848,17136,57151,2130760844,0x695F8610
1695711130.302880,10.1.6.3,103.242.182.119,9848,17136,57152,2130761004,0x695F8610
1695711130.323170,10.1.6.3,103.242.182.119,9848,17136,57153,2130761164,0x695F8610
1695711130.342560,10.1.6.3,103.242.182.119,9848,17136,57154,2130761324,0x695F8610
1695711130.362800,10.1.6.3,103.242.182.119,9848,17136,57155,2130761484,0x695F8610
1695711130.383190,10.1.6.3,103.242.182.119,9848,17136,57156,2130761644,0x695F8610
1695711130.403500,10.1.6.3,103.242.182.119,9848,17136,57157,2130761804,0x695F8610
